ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
MONICA AKOSAH'S PROVISION SHOP,INFRONT OF COCOA SHED STORE NO TS 31 A M/S,OBUASI HIGH STREET,MANGOASE,OBUASI,,207652512,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MONICA ESSUON'S SHOP,OPPOSITE GLARYLAND EMBASSY,DUNKWAN ROAD,NYAME SO,OBUASI,,243113091,"Retail sale of hardware, paints and glass in specialized stores"
MONICA NAAZIE DRINKING SPOT,BEHIND L/A PRIMARY SCHOOL,L/A PRIMARY SCHOOL,ASONKORE NEW SITE,ASONKORE,,NULL,Beverage serving activities
MONIMICH ENTERPRISE,HOUSE NO. NN 95 -PLOT NN 95,14 ASSIAMAH GUAHYIA STREET,NEW NSUTA,OBUASI,,241123317,"Retail sale of hardware, paints and glass in specialized stores"
MOONLIGHT SPOT,ADJACENT YEHOWA BEWHE COLD STORE,NANA PONKO ROAD,KUNKA,OBUASI,,208499329,Beverage serving activities
MORDERN TECHNOLOGY,BEHIND FIRST NATIONAL BANK,BODWESANGO WALK,NEW NSUTA,OBUASI,"P. O. BOX 176, OBUASI",247661112,Repair of consumer electronics
MOREMORE WELDING AND FABRICATION,"NEAR BORN AGAIN JUNCTION, ADJACENT BETHEL METHODIST",BONGOBIRI MAIN ROAD,"DUNKWA JUNCTION, KUNKA",OBUASI,,246857428,Treatment and coating of metals; machining
MOREMORE WELDING SHOP,ADJACENT METHODIST CHURCH,BONGOBIRI ROAD,DUNKWA JUNCTION,OBUASI,,246857428,Manufacture of structural metal products
MOSAMA DISCO CHRISTO CHURCH,OPPOSITE ZAIN MAST,ABUSCO ROAD,AKAPORSO,OBUASI,,248882913,Activities of religious organizations
MOSES ADDAI'S GOLD SHOP,AFTER ALIMO WASHING BAY,OBUASI HIGH STREET,GAUSU,OBUASI,,NULL,Wholesale of metals and metal ores
MOSES FUNITURES,ADJACENT TO BY HIS GRACE VULGANIZING CNETRE,,KWABENAKWA,KWABENAKWA,,248014445,Manufacture of furniture
MOSES NKETIA ENTERPRISE,BEHIND PEE GREEN CHOP BAR,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,243568510,Sale of motor vehicle parts and accessories
MOSES'S FASHION DESIGN,BEHIND POMPOSO TO OBUASI BUS STOP,,POMPOSO,POMPOSO,,506217957,"Manufacture of wearing apparel, except fur apparel"
MOTOR CITY,OPPOSITE OFORIWAA BA ELECTRICAL SHOP,NINE MILES ROAD,KUNKA,OBUASI,,243925006,Repair of electrical equipment
MOTOR TRAFFIC TRANSFORT UNIT,OPPOSITE BORIS B'S FARMS,KWABENA ROAD,ASONKORE SNITT,ASONKORE,"P. O. BOX 25, OBUASI",244458782,Public order and safety activities
MR AWUAH'S VULCANIZING SHOP,BOGOBIRI H/NO BG 7/A,BOGOBIRI MAIN STREET,BOGOBIRI,OBUASI,,509740156,"Sale, maintenance and repair of motorcycles and related parts and accessories"
MR JB LOTTO KIOSK,BOGOBIRI STADIUM JUNCTION BEHIND SINAPI ABA BUILDING,,BOGOBIRI,OBUASI,,545029351,Gambling and betting activities
MR. ACKAH'S SHOP,AT THE ASSEMBLYMAN'S HOUSE,,BOGOBIRI,OBUASI,,244751878,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MR. ACQUAH'S ENTERPRISE,NEXT TO NANA AKUA'S BEAUTY SALON,,KWABENAKWA,KWABENAKWA,,501282830,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MR. ALEX BOUTIQUE,OPPOSITE K.M.S,K.M.S STREET,ANYINAM,OBUASI,"P. O. BOX 89, OBUASI CENTRAL",244178543,"Retail sale of clothing, footwear and leather articles in specialized stores"
MR. ALEX'S PROVISION STORE,"DONKOMI-ASE, STORE NO. 34",CENTRAL STATION ROAD,OBUASI CENTRAL,OBUASI,,240760757,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MR. BIO'S CORN MILL,OPPOSITE UNIVERSAL GOSPEL MINISTRY,BINSERE ROAD,KUNKA,OBUASI,,544477293,Manufacture of grain mill products
MR. BOAKYE'S STORE,ADJACENT PANOS SECURITY SERVICES,PANOS SECURITY STREET,NYAME SO,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MR. FOSU'S ENTERPRISE,"STORENO. 11, CNETRAL MARKET",CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,"P. O. BOX 35, OBUASI",NULL,"Retail sale of hardware, paints and glass in specialized stores"
MR. GRANT JOSEPH MILLING CENTRE,BEHIND ESI TAWAIH'S PROVISIONS STORE,KWABENAKWA ROAD,ASONKORE,ASONKORE,,NULL,Manufacture of starches and starch products
MR. JAFFERE'S COMPUTERS,OPPOSITE BENVI VENTURES,CLUB 10 ROAD,BOGOBIRI,OBUASI,,265608057,Repair of consumer electronics
MR. JOHN COFFIE AUTO BODY WORKS,ADJACENT ERNSTINA'S COSMETICS,NYAMESO MAIN ROAD,BOGOBIRI,OBUASI,,546717729,Maintenance and repair of motor vehicles
MR. LADIES HAIR SHOP,BEHIND CENTRAL MAIN ROAD,CENTRAL ROAD,CENTRAL MARKET,OBUASI,,240751433,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MR. OLU'S SHOP,BEHIND THE TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,NULL,Specialized design activities
MR. OWUSU'S FITTING SHOP,ADJACENT ANYINAM LODGE,ANYINAM LODGE STREET,ANYINAM,OBUASI,"P. O. BOX 763, OBUASI CENTRAL",244202486,Maintenance and repair of motor vehicles
MR. QUASHIE'S FASHION DESIGN CENTRE,OPPOSITE PRICE CAPITAL MICRO FINANCE,ASSIAMA GUAHYI ROAD,NEW NSUTA,NEW NSOUTA OBUASI,"P. O. BOX BI 6, OBUASI",275290399,"Manufacture of wearing apparel, except fur apparel"
MR. SIMON'S SPARE PARTS SHOP,THE NINE MILES ROAD ADJACENT IKE PHONES ANDACCESSORIES,,KUNKA,OBUASI,,236579189,Sale of motor vehicle parts and accessories
MR. YAW ENIM SHOP,OPPOSITE THE STATION STORES,CENTRAL SATATION ROAD,OBUASI CNETRAL,OBUASI,,246154370,Retail sale of beverages in specialized stores
MRS NYARKO BOOK SHOP,"MENSAKROM, ADJACENT CHARLES AIDO CHEMICAL SHOP",MENSAKROM ROAD,GAUSU,OBUASI,,240561819,"Retail sale of books, newspapers and stationary in specialized stores"
MRS. AGNES BAFFO'S SHOP,"ON AFUA AFRIFAA III ROAD, STORE NO. 61",CENTRAL STREET,CENTRAL MARKET,OBUASI,,243126858,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
MRS. AJOAH'S SHOP,ADJACENT HOUSE NO. 277,ABU BONSRA WALK,OBUASI CENTRAL,OBUASI,,249470775,Manufacture of footwear
MRS. DWUMFOUR'S STORE,OPPOSITE WINNERS CHAPEL,DUNKWAN ROAD,NYAEM SO,OBUASI,,277197636,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MRS. GARDINER SHOP,OPPOSITE CENTRAL TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,267065621,"Manufacture of wearing apparel, except fur apparel"
MRS. HAGAR'S SALON,OPPOSITE HOUSE NO. O/C 279,ABU BOBSRA WALK,OBUASI CENTRAL,OBUASI,,261643777,Hairdressing and other beauty treatment
MRS. MARTHA GYAN'S STORE,OPPOSITE ODOTOBRI RURAL BANK,ODOTOBRI RURAL BANK ROAD,OBUASI CENTRAL,OBUASI,,244076667,"Retail sale of clothing, footwear and leather articles in specialized stores"
MRS. MARY GYARTENG'S SHOP,ADJACENT BORGA JUNCTION AT KUNKA OPPOSITE DEFEATCORRUPTION SCHOOL,,KUNKA,OBUASI,,202550785,"Manufacture of wearing apparel, except fur apparel"
MRS. MENSAH PROVISIONS STORE,ADJACENT SANTIAGO SPOT,VICTORIA GARDENS ROAD,KOFFEKROM EXTENSION,OBUASI,,249311118,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MRS. ROSE MENSAH'S PROVISIONS STORE,ADJAENT KOFI'S HOUSE AROUND NANA PONKO SCHOOL,NANA PONKO ROAD,KUNKA,OBUASI,,261243736,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MT. ZION METHODIST CHURCH,"MT. ZION, OPPOSITE MANGOASE OLD CEMETERY BEHINDMTN OFFICE",OBUASI HIGH STREET,MANGOASE,OBUASI,"P. O. BOX 829, OBUASI",244177548,Activities of religious organizations
MUITI-TECH SERVICES (WA) LIMITED OBUASI BRANCH,AFTER TOAD GRIP COMPANY,HEAVEN GATE HOME AND MORGUE ROAD,KUNKA,OBUASI,"P. O. BOX 770, OBUASI",244235565,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
MUM GRACE'S PROVISIONS STORE,ADJACENT JEAN AND CO HERBAL SHOP,AKWASI OBENG ROAD,NEW NSUTA,OBUASI,,242684968,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MUM VERO'S BOUTIQUE,"DONKOMI-ASE, STORE NUMBER 4",CENTRAL STATION ROAD,OBUASI CENTRAL,OBUASI,,273637276,"Retail sale of clothing, footwear and leather articles in specialized stores"
MUNA'S BEAUTY SALON,ADJACENT SOUTH AFRICA SPOT,,POMPOSO,POMPOSO,,262240050,Hairdressing and other beauty treatment
MUNICIPAL VETERINARY SERVICES-MOFA,OPPOSITE SSNIT BUILDING,HOSPITAL ROAD,GAUSU,OBUASI,"P. O. BOX 300, OBUASI",NULL,Veterinary activities
MUNINU ALCOLOGU VENTURES,NEXT TO SALVATION ARMY BASIC SCHOOL,,NEW NSUTA,NEW NSOUTA OBUASI,,NULL,"Wholesale of food, beverages and tobacco"
MUNIRATU MUSAH'S STORE,OPPOSITE HOUSE NO. NS/47/B,DUNKWA ROAD,NHYIAESO,OBUASI,,246577640,Retail sale of food in specialized stores
MUSA'S BARBERING SHOP,"NANKABA JUNCTION, OPPOSITE PENTECOST CHURCH",NANKABA ROAD,ANYINAM,OBUASI,,263692538,Hairdressing and other beauty treatment
MUSAH ADAMA'S CEMENT STORE,NEXT ASONKORE GOLDEN BRID,KWABENAKWA ROAD,ASONKORE,ASONKORE,,NULL,"Retail sale of hardware, paints and glass in specialized stores"
MUSAH MOHAMMED FITTING SHOP,STADIUM JUNCTION BEHIND NAPDA BUILDING,LOKO ROAD,BOGOBIRI,OBUASI,,244434569,Maintenance and repair of motor vehicles
MUSTIYA CONSTRUCTION AND ENGINEERING,A FEW YARDS TO THE MTN MAST ON THE PUBLIC TOLIETLANE,PUBLIC TOILET LANE,GAUSU,OBUASI,,243925138,Manufacture of builders' carpentry and joinery
MY BROTHER DRINKING SPOT,NEW RHAMEA PLOT 14/A,MENSAKROM ROAD,NEW RHEMEA,OBUASI,,541115659,Restaurants and mobile food service activities
MY GOD NEVER FAILS PROVISION STORE,OPPOSITE  PARENT'S PRIDE SCHOOL,ANYINAM STREET,ANYINAM,OBUASI,,205819903,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
MY HELP FASHION,OPPOSITE OBUASI METHODIST SCHOOL,OBUASI HIGH STREET,ANTOBOASI,OBUASI,"P. O. BOX 710, OBUASI",274067070,Repair of other personal and household goods
MY LORD IS ABLE GLASS SHOP,OPPOSITE KUNKA JUSBRO FILLING STATION,KUMASI DUNKWA ROAD,KUNKA,OBUASI,,244906197,Manufacture of structural metal products
MY REDEEMA STORE,BESIDES MAAME FIMBAH'S SCHOOL,,POMPOSO,POMPOSO,"P. O. BOX 617, OBUASI",277811794,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NADARK VENTURES,BEHIND BAPTIST CHURCH,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,243288000,Other activities auxiliary to financial service activities
NAFISA ABDULAI'S SHOP,"AT GAUSU MARKET, ADJACENT TANI MUSAH'S SHOP",MARKET LANE,GAUSU,OBUASI,,242151882,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NAFISA'S BEAUTY SALON,BEHIND AKUA'S SHOP,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,547270055,Hairdressing and other beauty treatment
NAM'S ENTERPRISE,ADJACENT GLORYLAND EMBASSY,DUNKWAN ROAD,NYAME SO,OBUASI,,277685134,Sale of motor vehicle parts and accessories
NANA ADWOA FASHION,BEHIND BOSSMAN LORRY STATION,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,249695320,"Manufacture of wearing apparel, except fur apparel"
NANA AKUAS BEAUTY SALON,ADJACENT THE ECG TRANSFORMER,,KWABENAKWA,KWABENAKWA,,248718017,Hairdressing and other beauty treatment
NANA AMA'S FASHION DESIGN,ADJACENT ALISO COMPANY LIMITED,,ASONKORE,ASONKORE,,240160051,"Manufacture of wearing apparel, except fur apparel"
NANA AMA'S SHOP,"CENTRAL MARKET, BEHIND THE DRY FISH SELLER STORE",ANTWI SAMPA DRIVE,CENTRAL MARKET,OBUASI,,243009201,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NANA ASAAMAG'S DRINKING SPOT,ADJACENT OPANIN BIO'S STORE,RAILWAYS ROAD,ODUMASI,OBUASI,,244475062,Beverage serving activities
NANA BEAUTY SALON,OPPOSITE INTERNATIONAL CENTRAL GOSPEL CHURCH,NKAPROM ROAD,BOGOBIRI ICGC,BOGOBIRI,,273219280,Hairdressing and other beauty treatment
NANA BOAKYE FURNITURE WORKS,"NEW RAHAMEA, ADJACENT THE GOVERNMENT HOSPITAL",MENSAKROM ROAD,GAUSU,OBUASI,"P. O. BOX 475, OBUASI",244693105,Specialized design activities
NANA BOAKYE STORE,ADJACENT SAFARI SPOT,DUNKWAN ROAD,NYAME SO,OBUASI,,243841401,"Retail sale of clothing, footwear and leather articles in specialized stores"
NANA BOAKYE YIADOM AUTO ELECTRICIAN,ADAJCENT STAR OIL FILLING STATION,AKAPORISO MAIN STREET,AKAPORISO,OBUASI,,241907498,Maintenance and repair of motor vehicles
NANA BOAKYE'S STORE,OPPOSITE GLORYALAND EMBASSY,DUNKWAN ROAD,NYAME SO,OBUASI,,243841401,"Retail sale of hardware, paints and glass in specialized stores"
NANA BOAMAH NKANSA'S SHOP,"ANTWI SAMPA DRIVE, STORE NO. 36",ANTWI SAMPA DRIVE,OBUASI CENTRAL MARKET,OBUASI,"P. O. BOX 6, OBUASI",245816156,"Manufacture of wearing apparel, except fur apparel"
NANA BONSU ELECTRICALS,"DUNKWA JUNCTION, OPPOSITE THE FILLING SHOP",,KUNKA,OBUASI,,268080789,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
NANA K.G'S SPOT,ADJACENT NYAME NA AYE SPOT,,BINSERE,OBUASI,,243756014,Beverage serving activities
NANA KOFI GYAMFI'S ENTERPRISE,OPPOSITE GOYE CHURCH,,KUNKA,OBUASI,,245229272,"Retail sale of hardware, paints and glass in specialized stores"
NANA KONADU OLD PENSIONNER'S STORE,OPPOSITE THE TOWN HALL BULIDING,AFUA AFRIFAA III ROAD,OBUASI CENTRAL,OBUASI,,NULL,Retail sale of textiles in specialized stores
NANA MANSAH'S SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III WALK,OBUASI CENTRAL,OBUASI,,242768734,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
NANA NUAKO'S PROVISIONS STORE,BEHIND AFIYA MANSAH'S SPOT,,ADAASI,OBUASI,,546855991,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NANA OSEI TAILORING SHOP,OPPOSITE ADOPEI ENTERPRISE,BOSSMAN STREET,BOSSMAN,OBUASI,,242320584,"Manufacture of wearing apparel, except fur apparel"
NANA OSEI'S ELECTRICAL SHOP,BEHIND KUNKA HEALTH CENTER OPPOSITE HOUSE NO. KNT71 A,BINSERE ROAD,KUNKA,OBUASI,,541346462,Repair of consumer electronics
NANA PONKO II M/A PRIMARY,ADJACENT MTN POLE,NANA PONKO ROAD,KUNKA,OBUASI,"P. O. BOX 186, OBUASI",203860151,Pre-primary and primary education
NANA TAKYI ENTERPRISE,OPPOSITE SINAPI AGA AT BOGOBIRI,KAMARA DINI ROAD,"SHAFT FM, BOGOBIRE",BOGOBIRI,,243608086,Sale of motor vehicle parts and accessories
NANA WIREDU MEMORIAL SCHOOL HOSTEL,H/NO BG 1/A,BOGOBIRI MAIN ROAD,BOGOBIRI,OBUASI,"P. O. BOX 173, OBUASI",248695023,Other accommodation
NANA WIREDU SCHOOL,BESIDE THE NINE MILES ROAD ADJACENT CHRISTIANEDUCATION FORUM,BIMSERE ROAD,KUNKA,OBUASI,"P. O. BOX 179, OBUASI",545507440,Pre-primary and primary education
NANA YAA SPECIAL,ALOPNG THE OBUASI SECONDARY TECHNICAL,OBUASI SECONDARY TECHNICAL ROAD,KOFFEKROM,OBUASI,,NULL,Restaurants and mobile food service activities
NANA YAA STORE,RIDGE 14/C BEHIND EVANGELICAL POWER CHAPEL,,OBGOBIRI,OBUASI,,NULL,Retail sale of food in specialized stores
NANA YAA'S SHOP,ADJACENT I&T PHARMACY,O'SECTECH ROAD,KOFFEKROM,OBUASI,,244246977,Retail sale of beverages in specialized stores
NANA YAW BENKYE ELECTRICAL AND REWINING WORKSHOP,OPPOSITE OBUASI CENTRAL LIBRARY,NEW NSUTA ROAD,NEW NSUTA,OBUASI,,271962853,Repair of household appliances and home and garden equipment
NANA YAW'S FAST FOOD,BEHIND ADANSI RURAL BANK,BEATRICE PRAH DRIVE,NEW NSUTA,OBUASI,,549472302,Restaurants and mobile food service activities
NANNN LAUNDRY SERIVCES,ADJACENT TOTAL FILLING STATION,ANYINAM ROAD,ANYINAM,OBUASI,,249778440,Washing and (dry-) cleaning of textile and fur products
NAOMI ABU HAIR DRESSING SALON,OPPOSITE ROSE GARDENS,ABUSCO RAOD,AKAPORISO,OBUASI,,261201261,Hairdressing and other beauty treatment
NAOMI ANANE GOD'S FIRST BEAUTY SALON,ALONG DIAWUOSO STREET TO AYEASE,AYEASE ROAD,DIAWUOSO,DIAWUOSO,,24,Hairdressing and other beauty treatment
NAOMI ASANDOR'S LICENSED CHEMICAL SHOP,OPPOSITE NANA WIREDU'S CEMENT SHOP,BINSERE ROAD,KUNKA,OBUASI,,242679899,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
NAOMI FASHION DESIGN,INFRONT OF THE TWELVE APOSTLES CHURCH,,POMPOSO,POMPOSO,,249594013,"Manufacture of wearing apparel, except fur apparel"
NAOMI KWAKYER'S DRESS MAKING SHOP,OPPOSITE PAXMAN MICRO FINACE LIMITED,,ESTATE,OBUASI,,276052080,"Manufacture of wearing apparel, except fur apparel"
NAOMI'S FASHION CENTRE,BEHIND NKAMPROM PIPE,PAMPROM MARKET ROAD,PAMPROM,OBUASI,,248695481,"Manufacture of wearing apparel, except fur apparel"
NAOMI'S PROVISIONS STORE,BEHIND THE CHURCH OF CHRIST,,SANSO,OBUASI,,200884450,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NAOMI'S SHOP,BEHIND BOADI MWAME CLOSE NEXT TO SILENCE HOTEL,BOADI KWAME CLOSE,ANTOBOASI,OBUASI,"P. O. BOX 65, OBUASI",246663523,"Manufacture of wearing apparel, except fur apparel"
NARH ENTERPRISE,ADJACENT AFRICAN FAITH CHURCH,KW/29/C,KWABENAKWA,KWABENAKWA,,236480108,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NARTHA QUARSHI'S SHOP,"STORE NO. 80, ON ANTWI SAMPA DRIVE NEAR THE SHED",ANTWI SAMPA DRIVE,OBUAI CENTRAL,OBUASI,,543972957,Other retail sale in non-specialized stores
NASARE SAKIBU'S HAIR DO,OPPOSITE HOUSE NO. GU 28/D,,GAUSU,OBUASI,,549733179,Hairdressing and other beauty treatment
NASARF VENTURES,ABUSCO JUNCTION BEHIND ELSHADAI ENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,"P. O. BOX 813, OBUASI",245516227,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
NATIONAL BOARD FOR SMALL SCALE INDUSTRIES,OBUASI MUNICIPAL ASSEMBLY BLOCK ROOM 47,GOVERNMENT HOSPITAL ROAD,RAMIA,OBUASI,"P. O. BOX 32, OBUASI",243056969,General public administration activities
NATIONAL LOTTERIES AUTHORITY -ACKAH JOHN'SLOTTOERIES,OPPOSITE PRESBY PRIMARY SCHOOL,SCHOOL ROAD,J.J NEW NSUTA,NEW NSOUTA OBUASI,,243779166,Gambling and betting activities
NATIONAL SERVICE SECRETARIAT,OBUASI MUNICIPAL ASSEMBLY BLOCK ROOM 50,GOVERNMENT HOSPITAL ROAD,RAMIA,OBUASI,"P. O. BOX 32, OBUASI",200506334,General public administration activities
NATIONAL SPORTS COUNCIL,OBUASI MUNICIPAL ASSEMBLY BLOCK,GOVERNMENT HOSPITAL ROAD,RAMIA,OBUASI,"P. O. BOX 32, OBUASI",244864889,General public administration activities
NATIONAL YOUTH AUTHORITY,OBUASI MUNICIPAL ASSEMBLY BLOCK,GOVERNMENT HOSPITAL ROAD,RAMIA,OBUASI,"P. O. BOX 32, OBUASI",249524769,General public administration activities
NATIONAL YOUTH EMPLOYMENT PROGRAMME OFFICE,OBUASI MUNICIPAL ASSEMBLY BLOCK ROOM 67,GOVERNMENT HOSPITAL ROAD,RAMIA,OBUASI,"P. O. BOX 32, OBUASI",NULL,General public administration activities
NEA NYAME PE NA OYE STORE,BESIDE GLO MAST,,KWABENAKWA,KWABENAKWA,,277027996,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NEPTUNUS GHANA COMPANY LIMITED,BEHIND FIRST NATIONAL BANK,KWAME OBENG ROAD,NEW NSUTA,OBUASI,,509879707,Other human health activities
NEW CONVENANT GOSPEL MINISTRY,BEHIND NEXT TIME SPOT,,POMPOSO,POMPOSO,"P. O. BOX 313, OBUASI",244945584,Activities of religious organizations
NEW GENERATION WELDING SHOP,OPPOSITE ENGINE FILLING STATION,DUNKWA ROAD,NYAMESO,OBUASI,"P. O. BOX 88, OBUASI",247759773,Maintenance and repair of motor vehicles
NEW GOLDNE VIEW NIGHT CLUB,"ANYINAMFIE, OPPOSITE TOTAL FILLING STATION",ANYINAMFIE ROAD,ANYINAM,OBUASI,,270118658,Beverage serving activities
NEW JOINT SPOT,ADJACENT MAA THESS STORE,BOSSMAN STREET,BOSSMAN,OBUASI,,243972437,Beverage serving activities
NEW LIFE GOLDEN SPOT,BESIDE NYAME NA AYE OLD POULTRY FARMS,,KWABENAKWA,KWABENAKWA,,547603178,Beverage serving activities
NEW LIFE SPOT,ABUSCO JUNCTION BEHIND ELSHADAI ENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,"P. O. BOX 586, OBUASI",242689300,Beverage serving activities
NEW NSUTA M/A PRIMARY AND J.H.S,ADJACENT OBUASI JUNIOR HIGH SCHOOL CPMPLEX,GOVERNMENT HOSPITAL RAOD,RAMIA,OBUASI,"P. O. BOX 120, OBUASI",NULL,Pre-primary and primary education
NEW WORLD SHOP,BEHIND THE TOWN HALL BUILDING,OFORI AGYEMANG ROAD,OBUASI CENTRAL,OBUASI,,243810739,"Manufacture of wearing apparel, except fur apparel"
NEXT DOOR PUB,ADJACENT GOLDEN SPOT,BOSSMAN STREET,BOSSMAN,OBUASI,,249147447,Beverage serving activities
NEXT TI9ME BARBERING SALON,OPPOSITE CHRIST THE KING HIGH SCHOOL,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,247549031,Hairdressing and other beauty treatment
NEXT TIME SPOT,ADJACENT THE TWELVE APOSTLES CHURCH,,POMPOSO,POMPOSO,"P. O. BOX 245, OBUASI",244112272,Beverage serving activities
NHYIRA BEAUTY SALON,ADJACENT MAA KATE'S STORE,BOSSMAN STREET,BOSSMAN,OBUASI,,245460350,Hairdressing and other beauty treatment
NHYIRA NKA BOAFOO,ADJACENT THE POLICE QUARTERS AND ODIKURO'S HOUSE,,KUNKA,OBUASI,,570609294,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NHYIRA NKA NYAME,NEAR JUSBRO INFRONT OF THE SDA CHURCH,,KUNKA,OBUASI,,249179394,Sale of motor vehicle parts and accessories
NHYIRABA VENTURES,HOUSE NO. NN 83,NEW NSUTA ROAD,NEW NSUTA,OBUASI,,244050571,"Retail sale of books, newspapers and stationary in specialized stores"
NI PA NYE NYAME PROVISIONS STORE,ADJACENT METHODIST CHURCH,AKAPORISO STREET,AKAPORISO,OBUASI,,247427671,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NICE AND COOL BOUTIQUE,ADJACENT FIRST NATIONAL BANK,KWAME OBENG DRIVE,NEW NSUTA,OBUASI,,244215141,"Retail sale of clothing, footwear and leather articles in specialized stores"
NICE AND COOL ENTERPRISE,OPPOSITE GOLDEN SPOT,76 OBUASI HIGH STREET,ZONGO,OBUASI,,249528837,"Retail sale of clothing, footwear and leather articles in specialized stores"
NICE AND COOL STORE,ADJACENT FIRST NATIONAL BANK,KWAME OBENG DRIVE,NEW NSUTA,OBUASI,,242810828,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NICHOLAS FASHION CENTER,STADIUM JUNCTION ADJACENT ONLY JESUS CAN DO SALON,,BOGOBIRI,OBUASI,,275794074,"Manufacture of wearing apparel, except fur apparel"
NII LAYEN'S ELECTRONIC,OPPOSITE NEYINDA ELECTRICALS,ASSIAMA GUAHYI ROAD,NEW NSUTA,NEW NSOUTA OBUASI,,245306528,Repair of consumer electronics
NII'S SHOE MAKING SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL MARKET,OBUASI,,549921427,Repair of footwear and leather goods
NIMDEE OIL MILLS AND TRADING ENTERPRISE,BEHIND DIAWUOSO CHURCH OF PENTECOST (ELOHIM),AYAESE ROAD,DIAWUOSO,DIAWUOSO,"P. O. BOX 185, OBUASI",NULL,Manufacture of vegetable and animal oils and fats
NIMSABA FASHINO CENTRE,ADJACENT ZURATU ALI'S SHOP,,GAUSU,OBUASI,,NULL,"Manufacture of wearing apparel, except fur apparel"
NISIRA BASHIRU'S PROVISION SHOP,BEHIND AQUA VITENS RAND LTD,,GAUSU,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
